,SL,Ticket Category,SLA (Weekdays),,SLA (Weekend),
,,,Office hour,After office hour,Office hour,After office hour
CEx,1,CEx - 2FA Issue,1H,1H,1H,1H
,2,CEx - Account is Paused Due to Inactivity,1H,1H,1H,1H
,3,CEx - Account Merging,1H,1H,1H,1H
,4,CEx - Account Pause/Unpause,1H,1H,1H,1H
,5,CEx - Add-on Issue,1H,1H,1H,1H
,6,CEx - Breach Event Explanation,1H,1H,1H,1H
,7,CEx - Claim BOGO Free Account,1H,1H,1H,1H
,8,"CEx - Client Made Bank Transfer, but Account/Reset Pending",1H,1H,1H,1H
,9,"CEx - Client Made Card Payment, but Account Pending",1H,1H,1H,1H
,10,"CEx - Client Made Card Payment, but Reset Pending",1H,1H,1H,1H
,11,CEx - Client Made Crypto Payment But Account Reset Pending,1H,1H,1H,1H
,12,"CEx - Client Made Crypto Payment, but Account Activation Pending",1H,1H,1H,1H
,13,CEx - Client Paid Through Payprocc but Account Activation/Reset Pending,1H,1H,1H,1H
,14,CEx - Dashboard Update Issue (Days),1H,1H,1H,1H
,15,CEx - Free Trail Account Breached Issue,1H,1H,1H,1H
,16,CEx - Giveaway Account Creation (Instagram),1H,1H,1H,1H
,17,CEx - Invalid Account/Login Issue,1H,1H,1H,1H
,18,CEx - Pending Order Did Not Execute,1H,1H,1H,1H
,19,CEx - Referred To The Technical Expert Team.,1H,1H,1H,1H
,20,CEx - Reset with Previous Payment,1H,1H,1H,1H
,21,CEx - Scale Up,1H,1H,1H,1H
,22,CEx - SL/TP Did Not Hit,1H,1H,1H,1H
,23,CEx - Slippage,1H,1H,1H,1H
,24,CEx - Spread,1H,1H,1H,1H
,25,CEx - Swap Explanation,1H,1H,1H,1H
,26,CEx - Switching Account Plan/Platform,1H,1H,1H,1H
,27,CEx - Trade Disabled Issue,1H,1H,1H,1H
,28,CEx - Unauthorized trade Explanation,1H,1H,1H,1H
,29,CEx - New Dashboard Registration Approval,1H,1H,1H,1H
,30,CEx - Request to Change Email Address,1H,1H,1H,1H
,31,CEx - Profile Information Update,1H,1H,1H,1H
,32,"CEx - Meet The Criteria For A Certificate, But It Appears To Be Inaccessible.",1H,1H,1H,1H
,,,,,,
,,,,,,
BOPs,1,BO - Change of Payout Address & Method,12H,24H,12H,24H
,2,BO - Client facing RISE Work Issue,12H,24H,12H,24H
,3,BO - Client wants to purchase account(s) with payout,12H,24H,12H,24H
,4,BO - Competition KYC,12H,24H,12H,24H
,5,BO - Competition Payout address,12H,24H,12H,24H
,6,BO - Complaint About Discrepancy in Profit Share,12H,24H,12H,24H
,7,"BO - KYC/Agreement Sign Done, Yet to Receive FundedNext Account/Unable to Sign Agreement",12H,24H,12H,24H
,8,BO - Max Allocation Issue,12H,24H,12H,24H
,9,BO - Need Update of KYC,12H,24H,12H,24H
,10,BO - Veriff Doesn’t Accept KYC Documents / Unable to Submit KYC Documents,12H,24H,12H,24H
,11,BO - Need an updated of current payout,12H,24H,12H,24H
,,,,,,
,,,,,,
PT,1,"PT - Client Made Crypto Payment, but Account Activation/Reset Pending (Wrong Amount)",12H,12H,24H,24H
,2,PT - Client Made Crypto Payment But Account Activation/Reset Pending (Partial/Extra),12H,12H,24H,24H
,3,PT - Client Paid Through PayProcc But Account Activation/Reset Pending,24H,24H,24H,24H
,4,PT - Payout Issue,24H,24H,24H,24H
,5,PT - Refund Verification Complete but was not processed yet.,12H,12H,24H,24H
,6,PT - TCpay payment verification,12H,12H,24H,24H
,7,PT - Unable to complete the payment,24H,24H,24H,24H
,8,PT - Unusual Payment Issue,24H,24H,24H,24H
,9,PT - Client Asked For Invoice (Payout/Payment),12H,12H,24H,24H
,10,PT - Riseworks Onboarding Issue,24H,24H,24H,24H
,11,PT - Dispute issue,24H,24H,24H,24H
,,,,,,
,,,,,,
PO,1,FUT - Contract Size Malfunction,3H,18H,66H,66H
,2,PO - Adjustment,3H,18H,24H,24H
,3,PO - Auto Liquidation/Breach Issue,3H,18H,24H,24H
,4,PO - cTrader/Match-Trader Breach Event Explanation,3H,18H,24H,24H
,5,PO - MT4/5 Breach Event Explanation,3H,18H,24H,24H
,6,PO - Order Rejection/Unable to Trade,3H,18H,24H,24H
,7,PO - Server Issue,3H,18H,24H,24H
,8,PO - Trade Execution Issue,3H,18H,24H,24H
,9,PO - Unable to Close Trade,3H,18H,24H,24H
,10,PO - Unable to Place Order,3H,18H,24H,24H
,11,PO - Swap Free Add-on,3H,18H,24H,24H
,12,PO - Unusual Slippage,3H,18H,24H,24H
,13,PO - Unauthorized trade Explanation (Discripency in IP),3H,18H,24H,24H
,,,,,,
,,,,,,
TT,1,TT - Account Balance Mismatch,8H,20H,72H,72H
,2,TT - Account Breached Due to Inactivity Period,8H,20H,72H,72H
,3,"TT - Account Reset, But Unable to Trade",8H,20H,72H,72H
,4,TT - Breach status not updated/Account breached due to inactivity (though active),8H,20H,72H,72H
,5,TT - Coupon Code (Unable to add / Need to Add / Not working/ BOGO not applied),8H,20H,72H,72H
,6,TT - Dashboard Login Issue,8H,20H,72H,72H
